name;reference;brand;category;collection;stock;price
Autry Basket;AULM/LS23/2 42;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 43;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 44;autry;basket;SS26;2;100
Autry Basket;AULM/LS23/2 45;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 39;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 41;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 42;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 43;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 44;autry;basket;SS26;2;100
Autry Basket;AULM/TS29 45;autry;basket;SS26;2;100
Autry Basket;AVLM/KH01 42;autry;basket;SS26;2;100
Autry Basket;AVLM/KH01 43;autry;basket;SS26;2;100
Autry Basket;AVLM/KH02 41;autry;basket;SS26;2;100
Autry Basket;AVLM/KH02 42;autry;basket;SS26;2;100
Autry Basket;AVLM/KH02 43;autry;basket;SS26;2;100
Autry Basket;HYLM/HU02 40;autry;basket;SS26;2;100
Autry Basket;HYLM/HU02 41;autry;basket;SS26;2;100
Autry Basket;HYLM/HU02 42;autry;basket;SS26;2;100
Autry Basket;HYLM/HU02 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT40 45;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 40;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 41;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 42;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 43;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 44;autry;basket;SS26;2;100
Autry Basket;WWLM/UT42 45;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 39;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 40;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 41;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 42;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 43;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 44;autry;basket;SS26;2;100
Autry Basket;WWLM/3T01 45;autry;basket;SS26;2;100
Autry Basket;WWLM/3T08 39;autry;basket;SS26;2;100
Autry Basket;WWLM/3T08 40;autry;basket;SS26;2;100
Autry Basket;WWLM/3T08 41;autry;basket;SS26;2;100
Autry Basket;WWLM/3T08 42;autry;basket;SS26;2;100
Autry Basket;WWLM/3T08 43;autry;basket;SS26;2;100
