cod_article;name;reference;brand;category;collection;stock;price
;Saucony Omni 9;OMNI9BLA/TOR 44.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9BLA/TOR 45;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9BLA/TOR 45.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9BLA/TOR 46;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9BLA/TOR 46.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 36.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 37;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 37.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 38;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 38.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 39;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 39.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 40;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 40.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 41;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 41.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 42;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 42.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 43;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 43.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 44;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 44.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 45;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 45.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 46;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/PUR 46.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 36.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 37;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 37.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 38;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 38.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 39;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 39.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 40;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 40.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 41;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 41.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 42;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 42.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 43;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 43.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 44;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 44.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 45;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 45.5;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 46;saucony;basket;SS26;1;160
;Saucony Omni 9;OMNI9WHI/MUL 46.5;saucony;basket;SS26;1;160
